route_id,trip_id,service_id,trip_short_name,trip_headsign,direction_id,shape_id
5,L5S1_052-DOM,Domingos,L5S1_052-DOM,ASTEGIETA / ARKAIATE,1,sha-c870747b
5,L5S1_055-DOM,Domingos,L5S1_055-DOM,ARKAIATE / ELEJALDE,0,sha-f9a4b24c
5,L5S1_060-DOM,Domingos,L5S1_060-DOM,ELEJALDE / ARKAIATE,1,sha-3bf555e7
5,L5S1_063-DOM,Domingos,L5S1_063-DOM,ARKAIATE / ELEJALDE,0,sha-f9a4b24c
5,L5S1_068-DOM,Domingos,L5S1_068-DOM,ELEJALDE / ARKAIATE,1,sha-3bf555e7
5,L5S1_071-DOM,Domingos,L5S1_071-DOM,ARKAIATE / ASTEGIETA,0,sha-43a6d1e6
5,L5S1_076-DOM,Domingos,L5S1_076-DOM,ASTEGIETA / ARKAIATE,1,sha-c870747b
5,L5S1_079-DOM,Domingos,L5S1_079-DOM,ARKAIATE / ELEJALDE,0,sha-f9a4b24c
5,L5S1_084-DOM,Domingos,L5S1_084-DOM,ELEJALDE / ARKAIATE,1,sha-3bf555e7
5,L5S1_087-DOM,Domingos,L5S1_087-DOM,ARKAIATE / ELEJALDE,0,sha-f9a4b24c
5,L5S1_092-DOM,Domingos,L5S1_092-DOM,ELEJALDE / ARKAIATE,1,sha-3bf555e7
5,L5S2_001-DOM,Domingos,L5S2_001-DOM,ARKAIATE / ASTEGIETA,0,sha-43a6d1e6
5,L5S2_001-LAB,Laborables,L5S2_001-LAB,ARKAIATE / ASTEGIETA,0,sha-43a6d1e6
5,L5S2_001-SAB,Sabados,L5S2_001-SAB,ARKAIATE / ELEJALDE,0,sha-f9a4b24c
5,L5S2_002-LAB,Laborables,L5S2_002-LAB,ASTEGIETA / ARKAIATE,1,sha-c870747b
5,L5S2_002-SAB,Sabados,L5S2_002-SAB,ELEJALDE / ARKAIATE,1,sha-3bf555e7
5,L5S2_003-LAB,Laborables,L5S2_003-LAB,ARKAIATE / ASTEGIETA,0,sha-43a6d1e6
5,L5S2_003-SAB,Sabados,L5S2_003-SAB,ARKAIATE / ELEJALDE,0,sha-f9a4b24c
5,L5S2_004-LAB,Laborables,L5S2_004-LAB,ASTEGIETA / ARKAIATE,1,sha-c870747b
5,L5S2_004-SAB,Sabados,L5S2_004-SAB,ELEJALDE / ARKAIATE,1,sha-3bf555e7
5,L5S2_005-LAB,Laborables,L5S2_005-LAB,ARKAIATE / ASTEGIETA,0,sha-43a6d1e6
5,L5S2_005-SAB,Sabados,L5S2_005-SAB,ARKAIATE / ELEJALDE,0,sha-f9a4b24c
5,L5S2_006-DOM,Domingos,L5S2_006-DOM,ASTEGIETA / ARKAIATE,1,sha-c870747b
5,L5S2_006-LAB,Laborables,L5S2_006-LAB,ASTEGIETA / ARKAIATE,1,sha-c870747b
5,L5S2_006-SAB,Sabados,L5S2_006-SAB,ELEJALDE / ARKAIATE,1,sha-3bf555e7
5,L5S2_007-LAB,Laborables,L5S2_007-LAB,ARKAIATE / ASTEGIETA,0,sha-43a6d1e6
5,L5S2_007-SAB,Sabados,L5S2_007-SAB,ARKAIATE / ELEJALDE,0,sha-f9a4b24c
5,L5S2_008-LAB,Laborables,L5S2_008-LAB,ASTEGIETA / ARKAIATE,1,sha-c870747b
5,L5S2_008-SAB,Sabados,L5S2_008-SAB,ELEJALDE / ARKAIATE,1,sha-3bf555e7
5,L5S2_009-DOM,Domingos,L5S2_009-DOM,ARKAIATE / ELEJALDE,0,sha-f9a4b24c
5,L5S2_009-LAB,Laborables,L5S2_009-LAB,ARKAIATE / ASTEGIETA,0,sha-43a6d1e6
5,L5S2_009-SAB,Sabados,L5S2_009-SAB,ARKAIATE / ELEJALDE,0,sha-f9a4b24c
5,L5S2_010-LAB,Laborables,L5S2_010-LAB,ASTEGIETA / ARKAIATE,1,sha-c870747b
5,L5S2_010-SAB,Sabados,L5S2_010-SAB,ELEJALDE / ARKAIATE,1,sha-3bf555e7
5,L5S2_011-LAB,Laborables,L5S2_011-LAB,ARKAIATE / ASTEGIETA,0,sha-43a6d1e6
5,L5S2_011-SAB,Sabados,L5S2_011-SAB,ARKAIATE / ELEJALDE,0,sha-f9a4b24c
5,L5S2_012-LAB,Laborables,L5S2_012-LAB,ASTEGIETA / ARKAIATE,1,sha-c870747b
5,L5S2_012-SAB,Sabados,L5S2_012-SAB,ELEJALDE / ARKAIATE,1,sha-3bf555e7
5,L5S2_013-LAB,Laborables,L5S2_013-LAB,ARKAIATE / ASTEGIETA,0,sha-43a6d1e6
5,L5S2_013-SAB,Sabados,L5S2_013-SAB,ARKAIATE / ELEJALDE,0,sha-f9a4b24c
5,L5S2_014-DOM,Domingos,L5S2_014-DOM,ELEJALDE / ARKAIATE,1,sha-3bf555e7
5,L5S2_014-LAB,Laborables,L5S2_014-LAB,ASTEGIETA / ARKAIATE,1,sha-c870747b
5,L5S2_014-SAB,Sabados,L5S2_014-SAB,ELEJALDE / ARKAIATE,1,sha-3bf555e7
5,L5S2_015-LAB,Laborables,L5S2_015-LAB,ARKAIATE / ASTEGIETA,0,sha-43a6d1e6
5,L5S2_015-SAB,Sabados,L5S2_015-SAB,ARKAIATE / ELEJALDE,0,sha-f9a4b24c
5,L5S2_016-LAB,Laborables,L5S2_016-LAB,ASTEGIETA / ARKAIATE,1,sha-c870747b
5,L5S2_016-SAB,Sabados,L5S2_016-SAB,ELEJALDE / ARKAIATE,1,sha-3bf555e7
5,L5S2_017-DOM,Domingos,L5S2_017-DOM,ARKAIATE / ASTEGIETA,0,sha-43a6d1e6
5,L5S2_017-LAB,Laborables,L5S2_017-LAB,ARKAIATE / ASTEGIETA,0,sha-43a6d1e6
5,L5S2_017-SAB,Sabados,L5S2_017-SAB,ARKAIATE / ELEJALDE,0,sha-f9a4b24c
5,L5S2_018-LAB,Laborables,L5S2_018-LAB,ASTEGIETA / ARKAIATE,1,sha-c870747b
5,L5S2_018-SAB,Sabados,L5S2_018-SAB,ELEJALDE / ARKAIATE,1,sha-3bf555e7
5,L5S2_019-LAB,Laborables,L5S2_019-LAB,ARKAIATE / ASTEGIETA,0,sha-43a6d1e6
5,L5S2_019-SAB,Sabados,L5S2_019-SAB,ARKAIATE / ELEJALDE,0,sha-f9a4b24c
5,L5S2_020-LAB,Laborables,L5S2_020-LAB,ASTEGIETA / ARKAIATE,1,sha-c870747b
5,L5S2_020-SAB,Sabados,L5S2_020-SAB,ELEJALDE / ARKAIATE,1,sha-3bf555e7
5,L5S2_021-SAB,Sabados,L5S2_021-SAB,ARKAIATE / REYES CATOLICOS,0,sha-b2da9195
5,L5S2_022-DOM,Domingos,L5S2_022-DOM,ASTEGIETA / ARKAIATE,1,sha-c870747b
5,L5S2_025-DOM,Domingos,L5S2_025-DOM,ARKAIATE / ELEJALDE,0,sha-f9a4b24c
5,L5S2_030-DOM,Domingos,L5S2_030-DOM,ELEJALDE / ARKAIATE,1,sha-3bf555e7
5,L5S2_033-DOM,Domingos,L5S2_033-DOM,ARKAIATE / ELEJALDE,0,sha-f9a4b24c
