stop_id,stop_name,stop_lat,stop_lon,stop_code,zone_id,stop_timezone,stop_url,level_id,parent_station
1315,Portal Zurbano / Biosfera,42.863968,-2.647538,1315,1,Europe/Madrid,,,
1322,Naciones Unidas / Mariturri,42.848882,-2.708710,1322,1,Europe/Madrid,,,
1047,Aragón,42.849170,-2.657820,1047,1,Europe/Madrid,,,
1023,Honduras,42.857253,-2.681034,1023,1,Europe/Madrid,,,
1403,Asparrena,42.831050,-2.670690,1403,1,Europe/Madrid,,,
1085,Zaramaga / Portal Gamarra,42.859247,-2.662224,1085,1,Europe/Madrid,,,
1251,Venta la Estrella 6,42.837104,-2.657172,1251,1,Europe/Madrid,,,
1080,Jacinto Benavente 7,42.845451,-2.658112,1080,1,Europe/Madrid,,,
1097,Comandante Izarduy 14,42.837745,-2.668876,1097,1,Europe/Madrid,,,
1353,Las Arenas / Mercedes,42.849721,-2.714410,1353,1,Europe/Madrid,,,
1159,Portal Arriaga 20,42.855768,-2.673323,1159,1,Europe/Madrid,,,
1348,Henry Morton Stanley / Océano Atlántico,42.850231,-2.699469,1348,1,Europe/Madrid,,,
1048,Jacinto Benavente 7,42.845535,-2.658204,1048,1,Europe/Madrid,,,
1143,Av. San Prudencio,42.833810,-2.702220,1143,1,Europe/Madrid,,,
1337,Bulevar Salburua / Paseo de Atenas,42.851174,-2.650741,1337,1,Europe/Madrid,,,
1314,Buesa Arena,42.864433,-2.644102,1314,1,Europe/Madrid,,,
1106,Portal Betoño 16,42.859405,-2.660080,1106,1,Europe/Madrid,,,
1058,Castillo Fontecha / Aretxaga,42.843272,-2.692012,1058,1,Europe/Madrid,,,
1399,Bruselas hiribidea  /  Elorriaga  -  Av. Bruselas  /  Elorriaga,42.848548,-2.641641,1399,1,Europe/Madrid,,,
1321,Paula Montal / Casas Rojas,42.855695,-2.703888,1321,1,Europe/Madrid,,,
1271,Luis Olariaga / Gernikako Arbola,42.868086,-2.683161,1271,1,Europe/Madrid,,,
1135,San Ignacio,42.852685,-2.671687,1135,1,Europe/Madrid,,,
1069,Seminario,42.850650,-2.688501,1069,1,Europe/Madrid,,,
1384,Mariturri / Oyón,42.838338,-2.711634,1384,1,Europe/Madrid,,,
1199,Basaldea / Gerezpea,42.838462,-2.730744,1199,1,Europe/Madrid,,,
1362,Jundiz / Zurrupitieta,42.841971,-2.737848,1362,1,Europe/Madrid,,,
1238,Av. Santiago 55,42.848000,-2.659050,1238,1,Europe/Madrid,,,
1215,Lermandabidea / Zuazobidea,42.849470,-2.733670,1215,1,Europe/Madrid,,,
1309,Reyes Navarra 19,42.857364,-2.669290,1309,1,Europe/Madrid,,,
1020,Av. Gasteiz 86,42.854766,-2.679928,1020,1,Europe/Madrid,,,
1192,Asteguieta,42.861330,-2.729698,1192,1,Europe/Madrid,,,
1273,Arriaga / Pueblo,42.865677,-2.676752,1273,1,Europe/Madrid,,,
1103,Reyes Navarra 10,42.854626,-2.665579,1103,1,Europe/Madrid,,,
1311,Viveros,42.877902,-2.642793,1311,1,Europe/Madrid,,,
1279,Iruña / Lizarra,42.860241,-2.696032,1279,1,Europe/Madrid,,,
1196,Lermandabidea / Lanzadera,42.851132,-2.723789,1196,1,Europe/Madrid,,,
1043,Zaramaga / Portal Gamarra,42.859032,-2.662442,1043,1,Europe/Madrid,,,
1221,Lermandabidea / Zuazobidea,42.849075,-2.733245,1221,1,Europe/Madrid,,,
1162,Portal Foronda 44,42.865021,-2.685264,1162,1,Europe/Madrid,,,
1299,Paz,42.844645,-2.668372,1299,1,Europe/Madrid,,,
1130,Donostia 11,42.862526,-2.689064,1130,1,Europe/Madrid,,,
1189,Alibarra / Gobeo,42.862008,-2.715211,1189,1,Europe/Madrid,,,
1194,Av. Los Huetos / Azucarera,42.857164,-2.717545,1194,1,Europe/Madrid,,,
1385,Mariturri / Reina Sofía,42.836463,-2.710858,1385,1,Europe/Madrid,,,
1022,Intermodal,42.859660,-2.682270,1022,1,Europe/Madrid,,,
1329,Reina Sofía,42.836370,-2.709093,1329,1,Europe/Madrid,,,
1030,Salbatierrabide,42.837522,-2.680013,1030,1,Europe/Madrid,,,
1235,Av. Bruselas 7,42.850699,-2.651588,1235,1,Europe/Madrid,,,
1316,Larragana / Kapelamendi,42.867019,-2.645639,1316,1,Europe/Madrid,,,
1172,Av. Los Huetos / Ali,42.853797,-2.699586,1172,1,Europe/Madrid,,,
1118,Portal Gamarra 3,42.861570,-2.661950,1118,1,Europe/Madrid,,,
1092,Portal Gamarra / Deba,42.858928,-2.662920,1092,1,Europe/Madrid,,,
1008,Judimendi / San José,42.849993,-2.661304,1008,1,Europe/Madrid,,,
